spdm_dump version 0.1
PcapFile: Magic - 'a1b2c3d4', version2.4, DataLink - 291 (MCTP), MaxPacketSize - 65536
1 (1789391791) MCTP(5) REQ->RSP SPDM(10, 0x84) SPDM_GET_VERSION () 
2 (1789391791) MCTP(5) RSP->REQ SPDM(10, 0x04) SPDM_VERSION (1.4.0.0) 
3 (1789391791) MCTP(5) REQ->RSP SPDM(14, 0xe1) SPDM_GET_CAPABILITIES (Flags=0x8882f7c6, CTExponent=0x00, ExtFlags=0x0000, DataTransSize=0x00001200, MaxSpdmMsgSize=0x00028000) 
4 (1789391791) MCTP(5) RSP->REQ SPDM(14, 0x61) SPDM_CAPABILITIES (Flags=0xb99afbf7, CTExponent=0x00, ExtFlags=0x0000, DataTransSize=0x00001200, MaxSpdmMsgSize=0x00028000) 
5 (1789391791) MCTP(5) REQ->RSP SPDM(14, 0xe3) SPDM_NEGOTIATE_ALGORITHMS (MeasSpec=0x01(DMTF), OtherParam=0x02(OPAQUE_FMT_1), Hash=0x00000002(SHA_384), Asym=0x00000100(ECDSA_P521), PqcAsym=0x00000000(), MelSpec=0x01(DMTF), DHE=0x0020(SECP_521_R1), AEAD=0x0002(AES_256_GCM), ReqAsym=0x0080(ECDSA_P384), KeySchedule=0x0001(HMAC_HASH)) 
6 (1789391791) MCTP(5) RSP->REQ SPDM(14, 0x63) SPDM_ALGORITHMS (MeasSpec=0x01(DMTF), OtherParam=0x02(OPAQUE_FMT_1), Hash=0x00000002(SHA_384), MeasHash=0x00000004(SHA_384), Asym=0x00000100(ECDSA_P521), PqcAsym=0x00(<Unknown>), MelSpec=0x01(DMTF), DHE=0x0020(SECP_521_R1), AEAD=0x0002(AES_256_GCM), ReqAsym=0x0080(ECDSA_P384), KeySchedule=0x0001(HMAC_HASH)) 
7 (1789391791) MCTP(5) REQ->RSP SPDM(14, 0x81) SPDM_GET_DIGESTS () 
8 (1789391791) MCTP(5) RSP->REQ SPDM(14, 0x01) SPDM_DIGESTS (SupportedSlotMask=0x03, ProvisionedSlotMask=0x03) 
9 (1789391791) MCTP(5) REQ->RSP SPDM(14, 0x82) SPDM_GET_CERTIFICATE (SlotID=0x00, LargeCert=0x80, Attr=0x00(), Offset=0x00000000, Length=0x00027ff0) 
10 (1789391792) MCTP(5) RSP->REQ SPDM(14, 0x02) SPDM_CERTIFICATE (SlotID=0x00, LargeCert=0x80, Attr=0x00(NONE), PortLen=0x00000755, RemLen=0x00000000) 
11 (1789391792) MCTP(5) REQ->RSP SPDM(14, 0x82) SPDM_GET_CERTIFICATE (SlotID=0x01, LargeCert=0x80, Attr=0x00(), Offset=0x00000000, Length=0x00027ff0) 
12 (1789391792) MCTP(5) RSP->REQ SPDM(14, 0x02) SPDM_CERTIFICATE (SlotID=0x01, LargeCert=0x80, Attr=0x00(NONE), PortLen=0x00000753, RemLen=0x00000000) 
13 (1789391792) MCTP(5) REQ->RSP SPDM(14, 0x83) SPDM_CHALLENGE (SlotID=0x00, HashType=0xff(AllHash)) 
14 (1789391792) MCTP(5) RSP->REQ SPDM(14, 0x03) SPDM_CHALLENGE_AUTH (Attr=0x00(, SlotID=0x00), SlotMask=0x03) 
15 (1789391792) MCTP(5) REQ->RSP SPDM(14, 0x81) SPDM_GET_DIGESTS () 
16 (1789391792) MCTP(5) RSP->REQ SPDM(14, 0x01) SPDM_DIGESTS (SupportedSlotMask=0x03, ProvisionedSlotMask=0x03) 
17 (1789391792) MCTP(5) REQ->RSP SPDM(14, 0x82) SPDM_GET_CERTIFICATE (SlotID=0x00, LargeCert=0x80, Attr=0x00(), Offset=0x00000000, Length=0x00027ff0) 
18 (1789391792) MCTP(5) RSP->REQ SPDM(14, 0x02) SPDM_CERTIFICATE (SlotID=0x00, LargeCert=0x80, Attr=0x00(NONE), PortLen=0x00000755, RemLen=0x00000000) 
19 (1789391792) MCTP(5) REQ->RSP SPDM(14, 0x81) SPDM_GET_DIGESTS () 
20 (1789391792) MCTP(5) RSP->REQ SPDM(14, 0x01) SPDM_DIGESTS (SupportedSlotMask=0x03, ProvisionedSlotMask=0x03) 
21 (1789391792) MCTP(5) REQ->RSP SPDM(14, 0xe0) SPDM_GET_MEASUREMENTS (Attr=0x00(), MeasOp=0x00(TotalNum)) 
22 (1789391792) MCTP(5) RSP->REQ SPDM(14, 0x60) SPDM_MEASUREMENTS (TotalMeasIndex=0x08) 
23 (1789391792) MCTP(5) REQ->RSP SPDM(14, 0xe0) SPDM_GET_MEASUREMENTS (Attr=0x00(), MeasOp=0x01) 
24 (1789391792) MCTP(5) RSP->REQ SPDM(14, 0x60) SPDM_MEASUREMENTS (NumOfBlocks=0x01, MeasRecordLen=0x00000037) 
25 (1789391792) MCTP(5) REQ->RSP SPDM(14, 0xe0) SPDM_GET_MEASUREMENTS (Attr=0x00(), MeasOp=0x02) 
26 (1789391792) MCTP(5) RSP->REQ SPDM(14, 0x60) SPDM_MEASUREMENTS (NumOfBlocks=0x01, MeasRecordLen=0x00000037) 
27 (1789391792) MCTP(5) REQ->RSP SPDM(14, 0xe0) SPDM_GET_MEASUREMENTS (Attr=0x00(), MeasOp=0x03) 
28 (1789391792) MCTP(5) RSP->REQ SPDM(14, 0x60) SPDM_MEASUREMENTS (NumOfBlocks=0x01, MeasRecordLen=0x00000037) 
29 (1789391792) MCTP(5) REQ->RSP SPDM(14, 0xe0) SPDM_GET_MEASUREMENTS (Attr=0x00(), MeasOp=0x04) 
30 (1789391792) MCTP(5) RSP->REQ SPDM(14, 0x60) SPDM_MEASUREMENTS (NumOfBlocks=0x01, MeasRecordLen=0x00000037) 
31 (1789391792) MCTP(5) REQ->RSP SPDM(14, 0xe0) SPDM_GET_MEASUREMENTS (Attr=0x00(), MeasOp=0x05) 
32 (1789391792) MCTP(5) RSP->REQ SPDM(14, 0x7f) SPDM_ERROR (ErrCode=0x01(InvalidRequset), ErrData=0x00) 
33 (1789391792) MCTP(5) REQ->RSP SPDM(14, 0xe0) SPDM_GET_MEASUREMENTS (Attr=0x00(), MeasOp=0x06) 
34 (1789391793) MCTP(5) RSP->REQ SPDM(14, 0x7f) SPDM_ERROR (ErrCode=0x01(InvalidRequset), ErrData=0x00) 
35 (1789391793) MCTP(5) REQ->RSP SPDM(14, 0xe0) SPDM_GET_MEASUREMENTS (Attr=0x00(), MeasOp=0x07) 
36 (1789391793) MCTP(5) RSP->REQ SPDM(14, 0x7f) SPDM_ERROR (ErrCode=0x01(InvalidRequset), ErrData=0x00) 
37 (1789391793) MCTP(5) REQ->RSP SPDM(14, 0xe0) SPDM_GET_MEASUREMENTS (Attr=0x00(), MeasOp=0x08) 
38 (1789391793) MCTP(5) RSP->REQ SPDM(14, 0x7f) SPDM_ERROR (ErrCode=0x01(InvalidRequset), ErrData=0x00) 
39 (1789391793) MCTP(5) REQ->RSP SPDM(14, 0xe0) SPDM_GET_MEASUREMENTS (Attr=0x00(), MeasOp=0x09) 
40 (1789391793) MCTP(5) RSP->REQ SPDM(14, 0x7f) SPDM_ERROR (ErrCode=0x01(InvalidRequset), ErrData=0x00) 
41 (1789391793) MCTP(5) REQ->RSP SPDM(14, 0xe0) SPDM_GET_MEASUREMENTS (Attr=0x00(), MeasOp=0x0a) 
